733.63312	-0.155	0.013	-4.179	0.340
733.63201	-0.057	0.016	-1.113	0.415
733.63089	-0.051	0.010	-1.626	0.251
733.63006	-0.123	0.011	-3.748	0.258
733.62895	-0.039	0.011	-0.704	0.286
733.62811	-0.182	0.019	-5.565	0.527
733.62700	-0.050	0.017	-0.923	0.404
733.62589	-0.129	0.012	-2.821	0.267
733.62505	-0.054	0.008	-1.211	0.246
733.62394	-0.093	0.008	-1.899	0.214
733.62311	-0.027	0.014	-1.013	0.352
733.62200	-0.019	0.010	0.027	0.302
733.62088	-0.063	0.010	-1.847	0.234
733.62005	-0.054	0.016	-0.599	0.412
733.61894	-0.144	0.013	-3.005	0.365
733.61810	-0.055	0.014	-0.980	0.386
733.61699	-0.188	0.019	-6.082	0.499
733.61588	-0.090	0.010	-1.751	0.246
733.61504	-0.137	0.013	-4.096	0.380
733.61393	-0.137	0.016	-3.806	0.397
733.61310	-0.074	0.012	-1.240	0.292
733.61199	-0.025	0.011	-0.658	0.300
733.61087	-0.104	0.019	-2.543	0.464
733.61004	-0.145	0.018	-3.932	0.453
733.60893	-0.241	0.028	-6.005	0.770
733.60809	-0.021	0.017	-0.825	0.459
733.60698	0.145	0.018	4.565	0.483
733.60587	-0.194	0.035	-5.556	0.993
733.60503	0.102	0.016	2.917	0.410
733.60392	-0.004	0.018	0.158	0.436
733.60309	-0.082	0.029	-2.738	0.718
733.60198	-0.033	0.013	-0.775	0.368
733.60086	-0.014	0.014	0.073	0.350
733.60003	-0.084	0.026	-2.546	0.704
733.59892	0.013	0.018	0.751	0.437
733.59808	-0.042	0.035	-1.843	0.947
733.59697	-0.066	0.022	-2.223	0.589
733.59614	0.136	0.018	3.529	0.461
733.59502	0.185	0.022	4.862	0.572
733.59391	-0.012	0.022	0.628	0.578
733.59308	0.106	0.025	2.834	0.681
733.59197	0.109	0.031	3.621	0.815
733.59113	0.006	0.025	-0.214	0.722
733.59002	0.354	0.037	9.194	0.992
733.58891	0.286	0.024	7.523	0.658
733.58807	0.133	0.021	4.256	0.562
733.58696	0.346	0.026	9.650	0.729
733.58613	0.353	0.029	10.339	0.826
733.58501	0.346	0.031	8.598	0.879
733.58390	0.571	0.042	15.414	1.151
733.58307	0.340	0.022	9.420	0.575
733.58196	0.649	0.038	18.028	1.022
733.58112	0.397	0.039	10.563	1.061
733.58001	0.409	0.037	10.854	1.034
733.57890	0.623	0.034	17.174	0.950
733.57806	0.440	0.022	12.227	0.612
733.57695	0.664	0.033	17.968	0.934
733.57612	0.807	0.047	20.111	1.298
733.57500	0.873	0.041	23.620	1.140
733.57389	0.754	0.046	20.659	1.294
733.57306	0.955	0.053	26.515	1.405
733.57194	1.099	0.046	29.564	1.301
733.57111	0.849	0.041	23.261	1.109
733.57000	1.130	0.050	30.351	1.366
733.56889	1.312	0.039	36.024	1.088
733.56805	1.096	0.047	29.377	1.305
733.56694	1.021	0.055	26.811	1.549
733.56611	1.067	0.045	28.505	1.278
733.56499	1.149	0.046	31.107	1.292
733.56388	1.418	0.067	38.526	1.869
733.56305	1.302	0.050	35.177	1.386
733.56193	1.308	0.048	35.319	1.321
733.56110	1.604	0.046	43.388	1.284
733.55999	1.640	0.056	44.192	1.520
733.55888	1.690	0.068	45.633	1.821
733.55804	1.304	0.054	35.363	1.462
733.55693	1.393	0.043	37.534	1.203
733.55609	1.193	0.048	32.407	1.380
733.55498	1.289	0.049	34.912	1.374
733.55387	1.167	0.047	32.416	1.334
733.55304	1.072	0.065	29.243	1.781
733.55192	1.494	0.065	39.750	1.787
733.55109	1.244	0.047	33.223	1.257
733.54998	1.255	0.047	33.728	1.303
733.54886	1.110	0.053	29.816	1.473
733.54803	0.838	0.036	23.414	0.999
733.54692	1.086	0.056	28.969	1.514
733.54608	0.773	0.040	20.908	1.087
733.54497	0.760	0.038	19.843	1.061
733.54414	0.809	0.050	21.475	1.322
733.54302	0.700	0.035	19.146	0.962
733.54191	0.454	0.034	12.507	0.934
733.54108	0.455	0.030	11.973	0.816
733.53997	0.455	0.029	12.646	0.728
733.53913	0.314	0.031	8.296	0.836
733.53802	0.486	0.028	12.633	0.749
733.53691	0.400	0.044	10.299	1.221
733.53607	0.221	0.030	6.339	0.778
733.53496	0.384	0.035	10.556	0.951
733.53413	0.145	0.023	4.053	0.616
733.53301	0.314	0.027	8.358	0.718
733.53190	0.109	0.028	2.727	0.717
733.53107	0.266	0.031	7.015	0.789
733.52996	0.091	0.023	3.076	0.609
733.52912	0.007	0.031	0.395	0.885
733.52801	0.063	0.023	1.587	0.542
733.52690	0.077	0.018	2.477	0.456
733.52606	0.185	0.025	5.513	0.649
733.52495	-0.043	0.028	-1.244	0.754
733.52412	0.190	0.029	5.066	0.777
733.52300	0.078	0.017	1.071	0.452
733.52189	0.042	0.014	1.400	0.393
733.52106	0.129	0.028	3.770	0.757
733.51994	-0.066	0.015	-1.422	0.400
733.51911	0.095	0.014	2.452	0.344
733.51800	-0.083	0.019	-2.197	0.540
733.51689	-0.143	0.020	-3.132	0.583
733.51605	-0.102	0.022	-2.740	0.595
733.51494	-0.109	0.021	-2.963	0.531
733.51410	0.053	0.024	2.098	0.647
733.51299	-0.045	0.017	-0.810	0.427
733.51188	0.050	0.018	1.536	0.506
733.51105	-0.102	0.013	-3.261	0.327
733.50993	-0.062	0.016	-0.936	0.405
733.50910	-0.121	0.016	-3.101	0.390
733.50799	-0.096	0.017	-2.224	0.464
733.50687	-0.132	0.016	-3.640	0.429
733.50604	-0.120	0.011	-2.680	0.271
733.50493	-0.052	0.016	-1.369	0.408
733.50409	-0.010	0.013	-0.298	0.297
733.50298	-0.057	0.016	-1.247	0.411
733.50187	-0.054	0.018	-1.693	0.448
733.50103	-0.040	0.018	-0.486	0.494
733.49992	-0.198	0.034	-5.417	0.832
733.49909	-0.219	0.013	-5.575	0.370
733.49798	-0.080	0.011	-1.300	0.262
733.49686	-0.150	0.012	-3.649	0.337
733.49603	-0.167	0.013	-3.716	0.307
733.49492	-0.094	0.019	-2.584	0.442
