WL	Field Signal	WL	Surface Signal	
729.53509	25.8122594285714	733.93504	52.8176822514286
729.54011	25.260288	733.94005	39.3327351885714
729.54513	25.9131348571429	733.94505	24.9898710628571
729.54988	28.9140057142857	733.95006	14.4878486514286
729.5549	27.3350925714286	733.95506	7.77958029714285
729.55993	27.1429277142857	733.96006	4.31026259428571
729.56495	27.3150094285714	733.96507	2.36173938285714
729.56997	27.7741388571429	733.97007	1.31431369142857
729.575	25.9334991428571	733.97507	0.698799988571428
729.58002	27.3036557142857	733.98008	0.355681108571428
729.58504	25.7202845714286	733.98508	0.372303474285714
729.59007	24.303068	733.99008	-0.116311291428571
729.59509	25.1976668571429	733.99509	-0.201309382857143
729.60011	24.0523365714286	734.00009	3.86308571428608E-4
729.60514	21.0860671428571	734.00509	-0.0245421828571429
729.60988	23.6191182857143	734.0101	0.485381428571428
