	NH3		He		Ne		Ar
7.76E-4	0.0241868727723626	6.76E-4	0.0150215603395564	8.76E-4	0.0587855598678521	0.001076	0.0641643593933065
7.74E-4	0.0238469126207601	6.74E-4	0.0146668625516951	8.74E-4	0.0550057813029438	0.001074	0.0684868273724751
7.72E-4	0.023404407190513	6.72E-4	0.0149250100166471	8.72E-4	0.0567399598635128	0.001072	0.0705693007949239
7.7E-4	0.0237423184712721	6.7E-4	0.0143198701623311	8.7E-4	0.0575138784039998	0.00107	0.0731315349312374
7.68E-4	0.024215921880003	6.68E-4	0.0141773441888377	8.68E-4	0.0564163027790078	0.001068	0.0777920828445747
7.66E-4	0.0243349906970778	6.66E-4	0.0133146395428172	8.66E-4	0.0609680941194966	0.001066	0.0859863300448795
7.64E-4	0.024124568597621	6.64E-4	0.0128614276411142	8.64E-4	0.0601360027598629	0.001064	0.0831017600808903
7.62E-4	0.0242990735905386	6.62E-4	0.0120913680415972	8.62E-4	0.059194063361627	0.001062	0.0809857894833457
7.6E-4	0.0248242909861303	6.6E-4	0.0125879458550305	8.6E-4	0.0583422956209571	0.00106	0.0849848224137999
7.58E-4	0.026037312477537	6.58E-4	0.0129058742296341	8.58E-4	0.0584933586475943	0.001058	0.0849334128533922
7.56E-4	0.0268875655954275	6.56E-4	0.0133129202015212	8.56E-4	0.0583885509384459	0.001056	0.085190904328992
7.54E-4	0.0275844590023765	6.54E-4	0.012596860300518	8.54E-4	0.0558265448523851	0.001054	0.0896472998594619
7.52E-4	0.0280917929686545	6.52E-4	0.0124218867105007	8.52E-4	0.0569623204152739	0.001052	0.0855016509887286
7.5E-4	0.0280310175909446	6.5E-4	0.0122970812871743	8.5E-4	0.0567453942204105	0.00105	0.0908846375662377
7.48E-4	0.0288326589305365	6.48E-4	0.0118851936647648	8.48E-4	0.0560670943206851	0.001048	0.0898791353187527
7.46E-4	0.0296729858662576	6.46E-4	0.01221483741337	8.46E-4	0.0573246934612507	0.001046	0.0859838223840647
7.44E-4	0.0303405402754805	6.44E-4	0.0126266426421432	8.44E-4	0.0560157501495945	0.001044	0.0923444354536196
7.42E-4	0.0303454796018633	6.42E-4	0.0124701152125738	8.42E-4	0.0580889753965318	0.001042	0.0944757128822741
7.4E-4	0.0308319674071664	6.4E-4	0.0124777245610292	8.4E-4	0.0576335239459759	0.00104	0.0941300892170193
7.38E-4	0.0316471642506608	6.38E-4	0.0124648497583063	8.38E-4	0.0573423268426237	0.001038	0.0911681685881251
7.36E-4	0.0320399647263137	6.36E-4	0.0127231861368521	8.36E-4	0.0552697188255322	0.001036	0.0919010765419881
7.34E-4	0.0322857013694489	6.34E-4	0.0116141764044415	8.34E-4	0.0567932734316785	0.001034	0.0922499039073265
7.32E-4	0.0327578378479325	6.32E-4	0.0116343277945688	8.32E-4	0.0558046242129127	0.001032	0.0958045882981726
7.3E-4	0.0338542759958587	6.3E-4	0.0118246489069062	8.3E-4	0.0554498848936197	0.00103	0.0991397939146602
7.28E-4	0.0351051065390517	6.28E-4	0.0121144710359019	8.28E-4	0.0583570757211376	0.001028	0.0970955539334132
7.26E-4	0.0347254078775357	6.26E-4	0.0120608787534487	8.26E-4	0.0604477519648139	0.001026	0.0969985480886566
7.24E-4	0.0356395236239778	6.24E-4	0.0121153391279999	8.24E-4	0.0607910934850576	0.001024	0.0985365050153458
7.22E-4	0.0362845630402163	6.22E-4	0.0119242696447075	8.22E-4	0.0626965697096516	0.001022	0.0967573799448315
7.2E-4	0.0375954022057747	6.2E-4	0.0121725184926375	8.2E-4	0.061644728545752	0.00102	0.0994121479993301
7.18E-4	0.038250731148802	6.18E-4	0.0126965170001851	8.18E-4	0.0644071062750367	0.001018	0.102355229500679
7.16E-4	0.0383886932968254	6.16E-4	0.0141950506273895	8.16E-4	0.066994136282373	0.001016	0.104951756207171
7.14E-4	0.0393924294664256	6.14E-4	0.0149679976459801	8.14E-4	0.068214360852811	0.001014	0.105864691996764
7.12E-4	0.0397837333550539	6.12E-4	0.0162168967554331	8.12E-4	0.0699909630207438	0.001012	0.111339235203978
7.1E-4	0.0401619199137494	6.1E-4	0.0168353980356779	8.1E-4	0.0732212802583444	0.00101	0.113376560128852
7.08E-4	0.0402523186799978	6.08E-4	0.0176008986722394	8.08E-4	0.0735652875979037	0.001008	0.116152748416409
7.06E-4	0.0405167879968429	6.06E-4	0.0182709269313989	8.06E-4	0.0748617319670647	0.001006	0.119937897119458
7.04E-4	0.0405975435969189	6.04E-4	0.0174207643270516	8.04E-4	0.0750889976163136	0.001004	0.121282216654839
7.02E-4	0.0404125776178329	6.02E-4	0.0162954224455713	8.02E-4	0.073911425537469	0.001002	0.128853391627974
7E-4	0.0407319571446365	6E-4	0.0169699413856681	8E-4	0.0769384467950947	1E-3	0.136040783257442
6.98E-4	0.0410542314478358	5.98E-4	0.015763856924424	7.98E-4	0.0785204500178359	9.98E-4	0.141095441854157
6.96E-4	0.0405368732945417	5.96E-4	0.0157042066610394	7.96E-4	0.0780138122248657	9.96E-4	0.141110436084564
6.94E-4	0.0397654547639106	5.94E-4	0.0146617491387258	7.94E-4	0.0781567327069525	9.94E-4	0.142192786550744
6.92E-4	0.0412636183097319	5.92E-4	0.0151072255978423	7.92E-4	0.0822623263423818	9.92E-4	0.147498805262118
6.9E-4	0.0414713430173008	5.9E-4	0.0158172675767008	7.9E-4	0.081649599880971	9.9E-4	0.146122133474535
6.88E-4	0.0418427204978464	5.88E-4	0.0167639572880691	7.88E-4	0.0806012231761983	9.88E-4	0.149552122637352
6.86E-4	0.0421368238089667	5.86E-4	0.0167877845270088	7.86E-4	0.0815165174805632	9.86E-4	0.152793214056889
6.84E-4	0.0428440067427055	5.84E-4	0.0166480663102307	7.84E-4	0.0817592787925513	9.84E-4	0.154469092145836
6.82E-4	0.042144774182024	5.82E-4	0.0160419700524023	7.82E-4	0.0837036817071003	9.82E-4	0.157392999616475
6.8E-4	0.0418033673296314	5.8E-4	0.015886233783855	7.8E-4	0.0859949704079074	9.8E-4	0.164876894191138
6.78E-4	0.0417554547442191	5.78E-4	0.016782044285085	7.78E-4	0.0888761284950349	9.78E-4	0.166805548603819
6.76E-4	0.0419456905950883	5.76E-4	0.0167614736433486	7.76E-4	0.0897214820783997	9.76E-4	0.168163387113715
6.74E-4	0.0422469832195908	5.74E-4	0.018200706611118	7.74E-4	0.0892812788805313	9.74E-4	0.175676793204632
6.72E-4	0.0433980029961006	5.72E-4	0.0181899330737961	7.72E-4	0.0911383810302047	9.72E-4	0.181523953055507
6.7E-4	0.0439275917220555	5.7E-4	0.0185001569603292	7.7E-4	0.0903296856054068	9.7E-4	0.174693863195047
6.68E-4	0.0447493128600792	5.68E-4	0.0194209186225702	7.68E-4	0.0922871083841586	9.68E-4	0.181994065376398
6.66E-4	0.045860562702275	5.66E-4	0.0197490997702789	7.66E-4	0.0960786841743957	9.66E-4	0.183979953593971
6.64E-4	0.0466112415220856	5.64E-4	0.0205885216126764	7.64E-4	0.0985516363782094	9.64E-4	0.192287697148213
6.62E-4	0.0488312062394561	5.62E-4	0.020174580522278	7.62E-4	0.10102205635701	9.62E-4	0.199989234196669
6.6E-4	0.0495851989585919	5.6E-4	0.0208054253711202	7.6E-4	0.104864716717381	9.6E-4	0.209266806226728
6.58E-4	0.051031153025183	5.58E-4	0.0204622390216235	7.58E-4	0.107167237246776	9.58E-4	0.212639922537921
6.56E-4	0.0518865856697112	5.56E-4	0.0208432895727874	7.56E-4	0.109731052593672	9.56E-4	0.220313809780919
6.54E-4	0.0531436802741289	5.54E-4	0.0219499317399121	7.54E-4	0.109790397176434	9.54E-4	0.22231125910551
6.52E-4	0.055506008715874	5.52E-4	0.0227609004640308	7.52E-4	0.111377433087543	9.52E-4	0.224056363349065
6.5E-4	0.0564980100327163	5.5E-4	0.0237451343619922	7.5E-4	0.111090145106553	9.5E-4	0.228877304392685
6.48E-4	0.0567642638626459	5.48E-4	0.024343713679701	7.48E-4	0.113657832480629	9.48E-4	0.229914957072982
6.46E-4	0.0569301844952506	5.46E-4	0.0250270410005442	7.46E-4	0.117879528894118	9.46E-4	0.234354512018068
6.44E-4	0.0568127473901175	5.44E-4	0.0269169990388008	7.44E-4	0.121582000449316	9.44E-4	0.232438733463371
6.42E-4	0.0581583653133468	5.42E-4	0.0271559228386866	7.42E-4	0.122482720875702	9.42E-4	0.240593123801171
6.4E-4	0.0600217862415231	5.4E-4	0.028141973038415	7.4E-4	0.123977654133511	9.4E-4	0.246453103479562
6.38E-4	0.0615448098261391	5.38E-4	0.0282321740437705	7.38E-4	0.1250998335072	9.38E-4	0.250337653170212
6.36E-4	0.0612889843795641	5.36E-4	0.0294174866589198	7.36E-4	0.125591417100564	9.36E-4	0.251409870255344
6.34E-4	0.0617622216940417	5.34E-4	0.0298677087185164	7.34E-4	0.129091493757789	9.34E-4	0.25464868471704
